student_id,concept_id,num_questions,confusion_score,help_requests,recency_days,help_style
S0000,K075,5,0.247,1,21,examples
S0000,K028,6,0.243,1,12,examples
S0000,K026,6,0.357,2,17,examples
S0000,K051,10,0.17,2,22,examples
S0000,K031,1,0.207,0,20,examples
S0000,K050,3,0.205,0,20,examples
S0000,K010,6,0.232,1,16,examples
S0000,K004,2,0.19,0,17,examples
S0000,K069,1,0.169,0,12,examples
S0000,K035,6,0.372,2,26,examples
S0000,K071,2,0.218,0,20,examples
S0000,K048,4,0.147,1,14,examples
S0000,K017,5,0.274,1,18,examples
S0000,K064,5,0.266,1,23,examples
S0000,K062,5,0.24,1,12,examples
S0000,K078,4,0.049,0,23,examples
S0001,K025,7,0.395,2,19,practice
S0001,K023,5,0.337,1,11,practice
S0001,K072,4,0.292,1,20,practice
S0001,K001,4,0.365,1,8,practice
S0001,K050,11,0.546,4,19,practice
S0001,K061,11,0.319,3,23,practice
S0001,K018,4,0.451,1,14,practice
S0001,K006,8,0.405,2,13,practice
S0001,K059,2,0.281,0,28,practice
S0001,K071,5,0.407,1,19,practice
S0001,K022,5,0.429,1,20,practice
S0001,K019,7,0.355,2,12,practice
S0001,K014,5,0.193,1,26,practice
S0001,K043,7,0.439,2,18,practice
S0001,K064,7,0.429,2,24,practice
S0001,K056,7,0.569,2,9,practice
S0001,K021,5,0.504,2,13,practice
S0001,K053,9,0.468,3,17,practice
S0001,K062,8,0.469,3,26,practice
S0001,K041,9,0.417,3,11,practice
S0001,K046,7,0.53,2,17,practice
S0001,K078,6,0.234,1,15,practice
S0001,K015,4,0.399,1,15,practice
S0001,K079,5,0.185,1,22,practice
S0002,K023,5,0.302,1,12,diagram
S0002,K051,8,0.253,2,10,diagram
S0002,K072,7,0.169,1,12,diagram
S0002,K050,3,0.065,0,15,diagram
S0002,K009,6,0.153,1,11,diagram
S0002,K038,4,0.256,1,15,diagram
S0002,K064,3,0.074,0,16,diagram
S0002,K047,8,0.277,2,25,diagram
S0002,K062,4,0.098,0,22,diagram
S0002,K002,6,0.285,1,15,diagram
S0002,K041,2,0.038,0,17,diagram
S0003,K025,12,0.329,3,16,diagram
S0003,K051,5,0.464,1,20,diagram
S0003,K031,5,0.403,1,26,diagram
